library,target,variant_class,mouse1.3_AUC,sd_mouse1.3_AUC,n_bc_mouse1.3_AUC,mouse1.4_AUC,sd_mouse1.4_AUC,n_bc_mouse1.4_AUC,mouse1.5_AUC,sd_mouse1.5_AUC,n_bc_mouse1.5_AUC,mouse1.6_AUC,sd_mouse1.6_AUC,n_bc_mouse1.6_AUC,mouse2.3_AUC,sd_mouse2.3_AUC,n_bc_mouse2.3_AUC,mouse2.6_AUC,sd_mouse2.6_AUC,n_bc_mouse2.6_AUC,expr,delta_expr,mouse1.3_normAUC,mouse1.4_normAUC,mouse1.5_normAUC,mouse1.6_normAUC,mouse2.3_normAUC,mouse2.6_normAUC
pool1,Rf4092,wildtype,1.87314,0.32467,329,2.53274,0.31604,329,2.22232,0.41236,273,4.26111,0.31875,312,5.12862,0.33444,314,5.96965,0.3816,319,10.1219,-0.0291,1.89817,2.55711,2.24167,4.29024,5.15734,6.00311
pool1,RmYN02,wildtype,2.01801,0.2981,278,3.17762,0.33812,276,2.31444,0.35725,235,4.36874,0.33081,265,4.78005,0.30943,266,6.11412,0.39835,265,10.1948,0.0438,1.98033,3.14094,2.28531,4.3249,4.73683,6.06376
pool1,YN2013,wildtype,1.58789,0.34141,219,3.16218,0.36253,221,3.16196,0.46762,186,4.34436,0.30996,217,4.64632,0.30311,221,5.70725,0.3702,215,10.2178,0.0668,1.53043,3.10624,3.11754,4.27749,4.58041,5.63045
pool1,ZC45,wildtype,0.85218,0.29085,307,2.72326,0.34284,299,4.55633,0.38231,270,3.43783,0.40564,312,4.17617,0.32637,310,5.17905,0.39317,312,10.0426,-0.1084,0.94543,2.81404,4.62841,3.54633,4.28313,5.30368
pool1,ZXC21,wildtype,0.83369,0.26666,551,2.62669,0.31825,564,4.53809,0.38707,459,3.37696,0.34722,560,4.11168,0.29289,578,5.12498,0.33406,558,9.9846,-0.1664,0.97684,2.76604,4.64874,3.54353,4.27586,5.3163
pool1,Rf1,wildtype,1.61673,0.31278,126,2.22436,0.28805,130,5.92253,0.44637,109,4.18829,0.31395,129,5.07319,0.3674,125,6.38312,0.36093,126,10.1638,0.0128,1.60572,2.21364,5.91402,4.17548,5.06056,6.36841
pool1,JL2012,wildtype,1.9959,0.33631,370,2.18887,0.30874,342,5.25058,0.45247,289,1.74558,0.37111,342,4.85259,0.34898,343,6.28859,0.37257,327,10.1559,0.0049,1.99169,2.18476,5.24732,1.74067,4.84775,6.28296
pool1,273-2005,wildtype,1.52347,0.33601,215,2.17092,0.34731,219,5.77712,0.48462,179,4.07656,0.37514,209,4.91517,0.4108,218,6.21471,0.43606,210,9.9353,-0.2157,1.70904,2.35155,5.92055,4.29247,5.128,6.46271
pool1,HeB2013,wildtype,1.56895,0.31525,274,2.20307,0.31731,276,5.85266,0.47524,219,4.05947,0.37026,265,4.88964,0.32968,273,6.26384,0.36505,267,10.0424,-0.1086,1.66237,2.29401,5.92487,4.16818,4.9968,6.38871
pool1,HuB2013,wildtype,1.82597,0.34174,287,3.70678,0.37605,284,3.69264,0.45564,231,4.23809,0.33562,272,4.74061,0.34386,281,6.06302,0.38356,274,10.2115,0.0605,1.77392,3.65611,3.65242,4.17753,4.68091,5.99346
pool1,Rs4247,wildtype,1.66209,0.31294,389,3.74358,0.35943,380,3.50683,0.45621,331,4.17558,0.32517,379,4.69591,0.36127,393,6.0285,0.4046,390,10.1636,0.0126,1.65125,3.73303,3.49846,4.16297,4.68348,6.01401
pool1,Longquan-140,wildtype,1.45878,0.34073,257,3.58857,0.334,246,3.30505,0.43294,215,4.07499,0.32548,252,4.69898,0.32437,260,5.84234,0.38809,244,10.0063,-0.1447,1.58327,3.70974,3.40127,4.21983,4.84176,6.00871
pool1,HKU3-8,wildtype,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pool1,HKU3-1,wildtype,1.58353,0.30736,159,3.62018,0.35118,156,3.46586,0.44732,140,4.11057,0.31252,160,4.56933,0.3228,160,5.84117,0.38739,155,10.1201,-0.0309,1.61011,3.64605,3.4864,4.1415,4.59982,5.87669
pool1,GX2013,wildtype,1.66879,0.32865,419,3.69849,0.35714,397,3.48402,0.43534,351,4.211,0.31355,398,4.6993,0.32549,407,5.95102,0.38463,405,10.1301,-0.0209,1.68677,3.71599,3.49791,4.23192,4.71993,5.97505
pool1,Shaanxi2011,wildtype,1.956,0.34413,304,3.768,0.3934,299,2.13571,0.35471,276,4.31174,0.34688,299,4.85754,0.35971,304,6.06567,0.38558,296,10.2584,0.1074,1.8636,3.67806,2.0643,4.20423,4.75157,5.94218
pool1,279-2005,wildtype,1.52709,0.33577,259,3.61003,0.35078,262,2.12141,0.37188,238,4.24318,0.33682,259,4.83148,0.33263,263,5.98623,0.37012,266,10.163,0.012,1.51676,3.59998,2.11343,4.23117,4.81964,5.97243
pool1,As6526,wildtype,1.83187,0.29666,196,3.69103,0.36205,199,2.48106,0.42284,176,4.21586,0.35033,192,4.69945,0.33951,191,6.0181,0.39168,190,10.1864,0.0354,1.80141,3.66138,2.45752,4.18042,4.66452,5.97739
pool1,Yunnan2011,wildtype,1.58393,0.32028,310,2.59787,0.37024,317,2.53332,0.43363,272,3.92183,0.32653,307,4.34134,0.32998,325,5.64353,0.39814,315,10.1321,-0.0189,1.60019,2.61369,2.54589,3.94075,4.35999,5.66527
pool1,Rs4237,wildtype,1.73285,0.33073,264,3.61805,0.36657,266,2.43111,0.409,223,4.23031,0.33244,254,4.66229,0.30462,270,5.9622,0.39053,261,10.2021,0.0511,1.68889,3.57526,2.39713,4.17916,4.61187,5.90345
pool1,Rs4081,wildtype,1.62536,0.33706,266,3.52493,0.38106,256,2.37003,0.405,229,4.20951,0.31868,258,4.62522,0.32617,264,5.86666,0.39005,260,10.1184,-0.0326,1.65341,3.55223,2.39171,4.24214,4.65739,5.90414
pool1,Rp3,wildtype,1.77577,0.32261,386,3.71209,0.33239,383,3.54362,0.44868,335,4.17772,0.33508,386,4.61492,0.30394,388,5.88262,0.38568,379,10.189,0.038,1.74308,3.68027,3.51835,4.13968,4.57743,5.83893
