library,sample,sample_type,sort_bin,concentration,date,number_cells,R1
lib47_SARSr-wts,tetra_01_bin2,tetra,2,1,220411,12322,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s18_b2_S2_R1_001.fastq.gz
lib47_SARSr-wts,tetra_01_bin3,tetra,3,1,220411,192681,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s18_b3_S3_R1_001.fastq.gz
lib47_SARSr-wts,tetra_01_bin4,tetra,4,1,220411,828593,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s18_b4_S4_R1_001.fastq.gz
lib47_SARSr-wts,tetra_02_bin1,tetra,1,2,220411,11020,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s19_b1_S5_R1_001.fastq.gz
lib47_SARSr-wts,tetra_02_bin2,tetra,2,2,220411,63015,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s19_b2_S6_R1_001.fastq.gz
lib47_SARSr-wts,tetra_02_bin3,tetra,3,2,220411,564327,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s19_b3_S7_R1_001.fastq.gz
lib47_SARSr-wts,tetra_02_bin4,tetra,4,2,220411,406364,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s19_b4_S8_R1_001.fastq.gz
lib47_SARSr-wts,tetra_03_bin1,tetra,1,3,220411,39211,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s20_b1_S9_R1_001.fastq.gz
lib47_SARSr-wts,tetra_03_bin2,tetra,2,3,220411,286631,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s20_b2_S10_R1_001.fastq.gz
lib47_SARSr-wts,tetra_03_bin3,tetra,3,3,220411,745824,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s20_b3_S11_R1_001.fastq.gz
